model,storage,carrier,condition,price
iPhone6,128GB,Sprint,Good,32.34
iPhone6,128GB,Sprint,Fair,26.2
iPhone6,128GB,Sprint,Broken,11.87
iPhone6,128GB,Other,New,27.16
iPhone6,128GB,Other,Like_new,22.99
iPhone6,128GB,Other,Good,21.2
iPhone6,128GB,Other,Fair,16.73
iPhone6,128GB,Other,Broken,6.29
iPhone6Plus,16GB,Unlocked,New,57.95
iPhone6Plus,16GB,Unlocked,Like_new,50.18
iPhone6Plus,16GB,Unlocked,Good,46.86
iPhone6Plus,16GB,Unlocked,Fair,38.54
iPhone6Plus,16GB,Unlocked,Broken,19.13
iPhone6Plus,16GB,Verizon,New,57.95
iPhone6Plus,16GB,Verizon,Like_new,50.18
iPhone6Plus,16GB,Verizon,Good,46.86
iPhone6Plus,16GB,Verizon,Fair,38.54
iPhone6Plus,16GB,Verizon,Broken,19.13
iPhone6Plus,16GB,AT&T,New,55.42
iPhone6Plus,16GB,AT&T,Like_new,47.95
iPhone6Plus,16GB,AT&T,Good,44.75
iPhone6Plus,16GB,AT&T,Fair,36.75
iPhone6Plus,16GB,AT&T,Broken,18.07
iPhone6Plus,16GB,T-Mobile,New,53.29
iPhone6Plus,16GB,T-Mobile,Like_new,46.07
iPhone6Plus,16GB,T-Mobile,Good,42.97
iPhone6Plus,16GB,T-Mobile,Fair,35.23
iPhone6Plus,16GB,T-Mobile,Broken,17.18
iPhone6Plus,16GB,Sprint,New,50.83
iPhone6Plus,16GB,Sprint,Like_new,43.89
iPhone6Plus,16GB,Sprint,Good,40.92
iPhone6Plus,16GB,Sprint,Fair,33.49
iPhone6Plus,16GB,Sprint,Broken,16.16
iPhone6Plus,16GB,Other,New,34.65
iPhone6Plus,16GB,Other,Like_new,29.6
iPhone6Plus,16GB,Other,Good,27.44
iPhone6Plus,16GB,Other,Fair,22.04
iPhone6Plus,16GB,Other,Broken,9.42
iPhone6Plus,32GB,Unlocked,New,52.51
iPhone6Plus,32GB,Unlocked,Like_new,45.38
iPhone6Plus,32GB,Unlocked,Good,42.32
iPhone6Plus,32GB,Unlocked,Fair,34.68
iPhone6Plus,32GB,Unlocked,Broken,16.86
iPhone6Plus,32GB,Verizon,New,52.51
iPhone6Plus,32GB,Verizon,Like_new,45.38
iPhone6Plus,32GB,Verizon,Good,42.32
iPhone6Plus,32GB,Verizon,Fair,34.68
iPhone6Plus,32GB,Verizon,Broken,16.86
iPhone6Plus,32GB,AT&T,New,50.18
iPhone6Plus,32GB,AT&T,Like_new,43.32
iPhone6Plus,32GB,AT&T,Good,40.39
iPhone6Plus,32GB,AT&T,Fair,33.04
iPhone6Plus,32GB,AT&T,Broken,15.89
iPhone6Plus,32GB,T-Mobile,New,48.23
iPhone6Plus,32GB,T-Mobile,Like_new,41.6
iPhone6Plus,32GB,T-Mobile,Good,38.75
iPhone6Plus,32GB,T-Mobile,Fair,31.65
iPhone6Plus,32GB,T-Mobile,Broken,15.07
iPhone6Plus,32GB,Sprint,New,45.97
iPhone6Plus,32GB,Sprint,Like_new,39.6
iPhone6Plus,32GB,Sprint,Good,36.87
iPhone6Plus,32GB,Sprint,Fair,30.05
iPhone6Plus,32GB,Sprint,Broken,14.13
iPhone6Plus,32GB,Other,New,31.11
iPhone6Plus,32GB,Other,Like_new,26.48
iPhone6Plus,32GB,Other,Good,24.5
iPhone6Plus,32GB,Other,Fair,19.53
iPhone6Plus,32GB,Other,Broken,7.94
iPhone6Plus,64GB,Unlocked,New,68.24
iPhone6Plus,64GB,Unlocked,Like_new,59.27
iPhone6Plus,64GB,Unlocked,Good,55.44
iPhone6Plus,64GB,Unlocked,Fair,45.82
iPhone6Plus,64GB,Unlocked,Broken,23.41
iPhone6Plus,64GB,Verizon,New,68.24
iPhone6Plus,64GB,Verizon,Like_new,59.27
iPhone6Plus,64GB,Verizon,Good,55.44
iPhone6Plus,64GB,Verizon,Fair,45.82
iPhone6Plus,64GB,Verizon,Broken,23.41
iPhone6Plus,64GB,AT&T,New,65.32
iPhone6Plus,64GB,AT&T,Like_new,56.69
iPhone6Plus,64GB,AT&T,Good,53.0
iPhone6Plus,64GB,AT&T,Fair,43.76
iPhone6Plus,64GB,AT&T,Broken,22.2
iPhone6Plus,64GB,T-Mobile,New,62.87
iPhone6Plus,64GB,T-Mobile,Like_new,54.52
iPhone6Plus,64GB,T-Mobile,Good,50.95
iPhone6Plus,64GB,T-Mobile,Fair,42.01
iPhone6Plus,64GB,T-Mobile,Broken,21.17
iPhone6Plus,64GB,Sprint,New,60.02
iPhone6Plus,64GB,Sprint,Like_new,52.01
iPhone6Plus,64GB,Sprint,Good,48.58
iPhone6Plus,64GB,Sprint,Fair,40.0
iPhone6Plus,64GB,Sprint,Broken,19.99
iPhone6Plus,64GB,Other,New,41.35
iPhone6Plus,64GB,Other,Like_new,35.52
iPhone6Plus,64GB,Other,Good,33.02
iPhone6Plus,64GB,Other,Fair,26.77
iPhone6Plus,64GB,Other,Broken,12.2
iPhone6Plus,128GB,Unlocked,New,73.77
iPhone6Plus,128GB,Unlocked,Like_new,64.16
iPhone6Plus,128GB,Unlocked,Good,60.04
iPhone6Plus,128GB,Unlocked,Fair,49.74
iPhone6Plus,128GB,Unlocked,Broken,25.72
iPhone6Plus,128GB,Verizon,New,73.77
iPhone6Plus,128GB,Verizon,Like_new,64.16
iPhone6Plus,128GB,Verizon,Good,60.04
iPhone6Plus,128GB,Verizon,Fair,49.74
iPhone6Plus,128GB,Verizon,Broken,25.72
iPhone6Plus,128GB,AT&T,New,70.64
iPhone6Plus,128GB,AT&T,Like_new,61.39
iPhone6Plus,128GB,AT&T,Good,57.43
iPhone6Plus,128GB,AT&T,Fair,47.52
iPhone6Plus,128GB,AT&T,Broken,24.41
iPhone6Plus,128GB,T-Mobile,New,68.0
iPhone6Plus,128GB,T-Mobile,Like_new,59.06
iPhone6Plus,128GB,T-Mobile,Good,55.23
iPhone6Plus,128GB,T-Mobile,Fair,45.66
iPhone6Plus,128GB,T-Mobile,Broken,23.31
iPhone6Plus,128GB,Sprint,New,64.96
iPhone6Plus,128GB,Sprint,Like_new,56.37
iPhone6Plus,128GB,Sprint,Good,52.69
iPhone6Plus,128GB,Sprint,Fair,43.5
iPhone6Plus,128GB,Sprint,Broken,22.04
iPhone6Plus,128GB,Other,New,44.94
iPhone6Plus,128GB,Other,Like_new,38.69
iPhone6Plus,128GB,Other,Good,36.01
iPhone6Plus,128GB,Other,Fair,29.32
iPhone6Plus,128GB,Other,Broken,13.7
iPhone6S,16GB,Unlocked,New,45.75
iPhone6S,16GB,Unlocked,Like_new,39.41
iPhone6S,16GB,Unlocked,Good,36.69
iPhone6S,16GB,Unlocked,Fair,29.9
iPhone6S,16GB,Unlocked,Broken,14.04
iPhone6S,16GB,Verizon,New,45.75
iPhone6S,16GB,Verizon,Like_new,39.41
iPhone6S,16GB,Verizon,Good,36.69
iPhone6S,16GB,Verizon,Fair,29.9
iPhone6S,16GB,Verizon,Broken,14.04
iPhone6S,16GB,AT&T,New,43.68
iPhone6S,16GB,AT&T,Like_new,37.58
iPhone6S,16GB,AT&T,Good,34.97
iPhone6S,16GB,AT&T,Fair,28.43
iPhone6S,16GB,AT&T,Broken,13.18
iPhone6S,16GB,T-Mobile,New,41.94
iPhone6S,16GB,T-Mobile,Like_new,36.05
iPhone6S,16GB,T-Mobile,Good,33.52
iPhone6S,16GB,T-Mobile,Fair,27.2
iPhone6S,16GB,T-Mobile,Broken,12.45
iPhone6S,16GB,Sprint,New,39.93
iPhone6S,16GB,Sprint,Like_new,34.27
iPhone6S,16GB,Sprint,Good,31.84
iPhone6S,16GB,Sprint,Fair,25.77
iPhone6S,16GB,Sprint,Broken,11.62
iPhone6S,16GB,Other,New,26.72
iPhone6S,16GB,Other,Like_new,22.6
iPhone6S,16GB,Other,Good,20.83
iPhone6S,16GB,Other,Fair,16.42
iPhone6S,16GB,Other,Broken,6.11
iPhone6S,32GB,Unlocked,New,53.19
iPhone6S,32GB,Unlocked,Like_new,45.98
iPhone6S,32GB,Unlocked,Good,42.89
iPhone6S,32GB,Unlocked,Fair,35.16
iPhone6S,32GB,Unlocked,Broken,17.14
iPhone6S,32GB,Verizon,New,53.19
iPhone6S,32GB,Verizon,Like_new,45.98
iPhone6S,32GB,Verizon,Good,42.89
iPhone6S,32GB,Verizon,Fair,35.16
iPhone6S,32GB,Verizon,Broken,17.14
iPhone6S,32GB,AT&T,New,50.84
iPhone6S,32GB,AT&T,Like_new,43.9
iPhone6S,32GB,AT&T,Good,40.93
iPhone6S,32GB,AT&T,Fair,33.5
iPhone6S,32GB,AT&T,Broken,16.16
iPhone6S,32GB,T-Mobile,New,48.86
iPhone6S,32GB,T-Mobile,Like_new,42.15
iPhone6S,32GB,T-Mobile,Good,39.28
iPhone6S,32GB,T-Mobile,Fair,32.1
iPhone6S,32GB,T-Mobile,Broken,15.34
iPhone6S,32GB,Sprint,New,46.57
iPhone6S,32GB,Sprint,Like_new,40.14
iPhone6S,32GB,Sprint,Good,37.38
iPhone6S,32GB,Sprint,Fair,30.48
iPhone6S,32GB,Sprint,Broken,14.38
iPhone6S,32GB,Other,New,31.56
iPhone6S,32GB,Other,Like_new,26.87
iPhone6S,32GB,Other,Good,24.86
iPhone6S,32GB,Other,Fair,19.84
iPhone6S,32GB,Other,Broken,8.13
iPhone6S,64GB,Unlocked,New,59.32
iPhone6S,64GB,Unlocked,Like_new,51.39
iPhone6S,64GB,Unlocked,Good,47.99
iPhone6S,64GB,Unlocked,Fair,39.51
iPhone6S,64GB,Unlocked,Broken,19.7
iPhone6S,64GB,Verizon,New,59.32
iPhone6S,64GB,Verizon,Like_new,51.39
iPhone6S,64GB,Verizon,Good,47.99
iPhone6S,64GB,Verizon,Fair,39.51
iPhone6S,64GB,Verizon,Broken,19.7
iPhone6S,64GB,AT&T,New,56.74
iPhone6S,64GB,AT&T,Like_new,49.11
iPhone6S,64GB,AT&T,Good,45.84
iPhone6S,64GB,AT&T,Fair,37.68
iPhone6S,64GB,AT&T,Broken,18.62
iPhone6S,64GB,T-Mobile,New,54.56
iPhone6S,64GB,T-Mobile,Like_new,47.19
iPhone6S,64GB,T-Mobile,Good,44.03
iPhone6S,64GB,T-Mobile,Fair,36.14
iPhone6S,64GB,T-Mobile,Broken,17.71
iPhone6S,64GB,Sprint,New,52.05
iPhone6S,64GB,Sprint,Like_new,44.97
iPhone6S,64GB,Sprint,Good,41.94
iPhone6S,64GB,Sprint,Fair,34.35
iPhone6S,64GB,Sprint,Broken,16.67
iPhone6S,64GB,Other,New,35.55
iPhone6S,64GB,Other,Like_new,30.39
iPhone6S,64GB,Other,Good,28.18
iPhone6S,64GB,Other,Fair,22.67
iPhone6S,64GB,Other,Broken,9.79
iPhone6S,128GB,Unlocked,New,71.0
iPhone6S,128GB,Unlocked,Like_new,61.71
iPhone6S,128GB,Unlocked,Good,57.73
iPhone6S,128GB,Unlocked,Fair,47.78
iPhone6S,128GB,Unlocked,Broken,24.56
iPhone6S,128GB,Verizon,New,71.0
iPhone6S,128GB,Verizon,Like_new,61.71
iPhone6S,128GB,Verizon,Good,57.73
iPhone6S,128GB,Verizon,Fair,47.78
iPhone6S,128GB,Verizon,Broken,24.56
iPhone6S,128GB,AT&T,New,67.98
iPhone6S,128GB,AT&T,Like_new,59.04
iPhone6S,128GB,AT&T,Good,55.21
iPhone6S,128GB,AT&T,Fair,45.64
iPhone6S,128GB,AT&T,Broken,23.3
iPhone6S,128GB,T-Mobile,New,65.43
iPhone6S,128GB,T-Mobile,Like_new,56.79
iPhone6S,128GB,T-Mobile,Good,53.09
iPhone6S,128GB,T-Mobile,Fair,43.83
iPhone6S,128GB,T-Mobile,Broken,22.24
iPhone6S,128GB,Sprint,New,62.48
iPhone6S,128GB,Sprint,Like_new,54.19
iPhone6S,128GB,Sprint,Good,50.63
iPhone6S,128GB,Sprint,Fair,41.75
iPhone6S,128GB,Sprint,Broken,21.01
iPhone6S,128GB,Other,New,43.14
