model,storage,carrier,condition,price
iPhone6S,64GB,Other,Like_new,46.72
iPhone6S,64GB,Other,Good,44.08
iPhone6S,64GB,Other,Fair,37.47
iPhone6S,64GB,Other,Broken,22.04
iPhone6S,128GB,Unlocked,New,124.28
iPhone6S,128GB,Unlocked,Like_new,105.39
iPhone6S,128GB,Unlocked,Good,99.42
iPhone6S,128GB,Unlocked,Fair,84.51
iPhone6S,128GB,Unlocked,Broken,49.71
iPhone6S,128GB,Verizon,New,124.28
iPhone6S,128GB,Verizon,Like_new,105.39
iPhone6S,128GB,Verizon,Good,99.42
iPhone6S,128GB,Verizon,Fair,84.51
iPhone6S,128GB,Verizon,Broken,49.71
iPhone6S,128GB,AT&T,New,119.56
iPhone6S,128GB,AT&T,Like_new,101.38
iPhone6S,128GB,AT&T,Good,95.64
iPhone6S,128GB,AT&T,Fair,81.3
iPhone6S,128GB,AT&T,Broken,47.82
iPhone6S,128GB,T-Mobile,New,115.58
iPhone6S,128GB,T-Mobile,Like_new,98.01
iPhone6S,128GB,T-Mobile,Good,92.46
iPhone6S,128GB,T-Mobile,Fair,78.59
iPhone6S,128GB,T-Mobile,Broken,46.23
iPhone6S,128GB,Sprint,New,110.98
iPhone6S,128GB,Sprint,Like_new,94.11
iPhone6S,128GB,Sprint,Good,88.78
iPhone6S,128GB,Sprint,Fair,75.47
iPhone6S,128GB,Sprint,Broken,44.39
iPhone6S,128GB,Other,New,62.14
iPhone6S,128GB,Other,Like_new,52.69
iPhone6S,128GB,Other,Good,49.71
iPhone6S,128GB,Other,Fair,42.25
iPhone6S,128GB,Other,Broken,24.86
iPhone6SPlus,16GB,Unlocked,New,131.9
iPhone6SPlus,16GB,Unlocked,Like_new,111.85
iPhone6SPlus,16GB,Unlocked,Good,105.52
iPhone6SPlus,16GB,Unlocked,Fair,89.69
iPhone6SPlus,16GB,Unlocked,Broken,52.76
iPhone6SPlus,16GB,Verizon,New,131.9
iPhone6SPlus,16GB,Verizon,Like_new,111.85
iPhone6SPlus,16GB,Verizon,Good,105.52
iPhone6SPlus,16GB,Verizon,Fair,89.69
iPhone6SPlus,16GB,Verizon,Broken,52.76
iPhone6SPlus,16GB,AT&T,New,126.89
iPhone6SPlus,16GB,AT&T,Like_new,107.6
iPhone6SPlus,16GB,AT&T,Good,101.51
iPhone6SPlus,16GB,AT&T,Fair,86.29
iPhone6SPlus,16GB,AT&T,Broken,50.76
iPhone6SPlus,16GB,T-Mobile,New,122.67
iPhone6SPlus,16GB,T-Mobile,Like_new,104.02
iPhone6SPlus,16GB,T-Mobile,Good,98.14
iPhone6SPlus,16GB,T-Mobile,Fair,83.42
iPhone6SPlus,16GB,T-Mobile,Broken,49.07
iPhone6SPlus,16GB,Sprint,New,117.79
iPhone6SPlus,16GB,Sprint,Like_new,99.89
iPhone6SPlus,16GB,Sprint,Good,94.23
iPhone6SPlus,16GB,Sprint,Fair,80.1
iPhone6SPlus,16GB,Sprint,Broken,47.12
iPhone6SPlus,16GB,Other,New,65.95
iPhone6SPlus,16GB,Other,Like_new,55.93
iPhone6SPlus,16GB,Other,Good,52.76
iPhone6SPlus,16GB,Other,Fair,44.85
iPhone6SPlus,16GB,Other,Broken,26.38
iPhone6SPlus,32GB,Unlocked,New,141.75
iPhone6SPlus,32GB,Unlocked,Like_new,120.2
iPhone6SPlus,32GB,Unlocked,Good,113.4
iPhone6SPlus,32GB,Unlocked,Fair,96.39
iPhone6SPlus,32GB,Unlocked,Broken,56.7
iPhone6SPlus,32GB,Verizon,New,141.75
iPhone6SPlus,32GB,Verizon,Like_new,120.2
iPhone6SPlus,32GB,Verizon,Good,113.4
iPhone6SPlus,32GB,Verizon,Fair,96.39
iPhone6SPlus,32GB,Verizon,Broken,56.7
iPhone6SPlus,32GB,AT&T,New,136.36
iPhone6SPlus,32GB,AT&T,Like_new,115.63
iPhone6SPlus,32GB,AT&T,Good,109.09
iPhone6SPlus,32GB,AT&T,Fair,92.73
iPhone6SPlus,32GB,AT&T,Broken,54.54
iPhone6SPlus,32GB,T-Mobile,New,131.83
iPhone6SPlus,32GB,T-Mobile,Like_new,111.79
iPhone6SPlus,32GB,T-Mobile,Good,105.46
iPhone6SPlus,32GB,T-Mobile,Fair,89.64
iPhone6SPlus,32GB,T-Mobile,Broken,52.73
iPhone6SPlus,32GB,Sprint,New,126.58
iPhone6SPlus,32GB,Sprint,Like_new,107.34
iPhone6SPlus,32GB,Sprint,Good,101.26
iPhone6SPlus,32GB,Sprint,Fair,86.08
iPhone6SPlus,32GB,Sprint,Broken,50.63
iPhone6SPlus,32GB,Other,New,70.87
iPhone6SPlus,32GB,Other,Like_new,60.1
iPhone6SPlus,32GB,Other,Good,56.7
iPhone6SPlus,32GB,Other,Fair,48.19
iPhone6SPlus,32GB,Other,Broken,28.35
iPhone6SPlus,64GB,Unlocked,New,153.84
iPhone6SPlus,64GB,Unlocked,Like_new,130.45
iPhone6SPlus,64GB,Unlocked,Good,123.07
iPhone6SPlus,64GB,Unlocked,Fair,104.61
iPhone6SPlus,64GB,Unlocked,Broken,61.53
iPhone6SPlus,64GB,Verizon,New,153.84
iPhone6SPlus,64GB,Verizon,Like_new,130.45
iPhone6SPlus,64GB,Verizon,Good,123.07
iPhone6SPlus,64GB,Verizon,Fair,104.61
iPhone6SPlus,64GB,Verizon,Broken,61.53
iPhone6SPlus,64GB,AT&T,New,147.99
iPhone6SPlus,64GB,AT&T,Like_new,125.5
iPhone6SPlus,64GB,AT&T,Good,118.39
iPhone6SPlus,64GB,AT&T,Fair,100.63
iPhone6SPlus,64GB,AT&T,Broken,59.2
iPhone6SPlus,64GB,T-Mobile,New,143.07
iPhone6SPlus,64GB,T-Mobile,Like_new,121.32
iPhone6SPlus,64GB,T-Mobile,Good,114.45
iPhone6SPlus,64GB,T-Mobile,Fair,97.29
iPhone6SPlus,64GB,T-Mobile,Broken,57.23
iPhone6SPlus,64GB,Sprint,New,137.38
iPhone6SPlus,64GB,Sprint,Like_new,116.5
iPhone6SPlus,64GB,Sprint,Good,109.9
iPhone6SPlus,64GB,Sprint,Fair,93.42
iPhone6SPlus,64GB,Sprint,Broken,54.95
iPhone6SPlus,64GB,Other,New,76.92
